Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
0.9,500,20,60,5,19.4
0.9,500,20,60,10,18.3
0.9,500,20,60,40,16.0
0.9,500,20,60,70,14.6
0.9,500,20,60,100,13.5
0.9,500,50,0,0,30.8
0.9,500,50,0,5,28.1
0.9,500,50,0,10,26.5
0.9,500,50,0,40,23.2
0.9,500,50,0,70,21.3
0.9,500,50,0,100,19.8
0.9,500,50,30,0,28.8
0.9,500,50,30,5,26.1
0.9,500,50,30,10,24.6
0.9,500,50,30,40,21.5
0.9,500,50,30,70,19.8
0.9,500,50,30,100,18.4
0.9,500,50,60,0,22.2
0.9,500,50,60,5,19.6
0.9,500,50,60,10,18.4
0.9,500,50,60,40,16.2
0.9,500,50,60,70,14.7
0.9,500,50,60,100,13.6
0.9,1000,1,0,0,19.5
0.9,1000,1,0,5,18.4
0.9,1000,1,0,10,17.8
0.9,1000,1,0,40,16.5
0.9,1000,1,0,70,15.7
0.9,1000,1,0,100,15.0
0.9,1000,1,30,0,18.9
0.9,1000,1,30,5,17.7
0.9,1000,1,30,10,17.1
0.9,1000,1,30,40,15.8
0.9,1000,1,30,70,14.9
0.9,1000,1,30,100,14.2
0.9,1000,1,60,0,16.3
0.9,1000,1,60,5,14.8
0.9,1000,1,60,10,14.2
0.9,1000,1,60,40,12.9
0.9,1000,1,60,70,12.1
0.9,1000,1,60,100,11.4
